institution_id,institution_name,city,state,tlr,rpc,go,oi,score,nirf_rank
IR-E-C-19754,SR University,Warangal,Telangana,73.64,21.78,55.79,64.97,47.16,91
IR-E-U-0297,Defence Institute of Advanced Technology,Pune,Maharashtra,68.7,36.01,52.12,47.02,46.98,92
IR-E-U-0078,Panjab University,Chandigarh,Chandigarh,47.57,44.46,56.8,63.47,46.9,93
IR-E-U-0017,Jawaharlal Nehru Technological University,Hyderabad,Telangana,75.17,22.4,49.61,67.59,46.74,94
IR-E-C-30045,"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,77.56,10.31,59.54,71.59,46.62,95
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,60.53,19.76,77.19,58.72,46.25,96
IR-E-U-0189,National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,55.31,32.51,65.33,57.57,46.1,97
IR-E-U-0147,Pandit Deendayal Energy University,Gandhinagar,Gujarat,61.15,38.82,58.4,38.87,45.97,98
IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,60.59,25.67,61.86,63.73,45.83,99
IR-E-C-36995,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,68.47,22.35,63.4,49.25,45.55,100
