institution_name,state,student_enrollment,faculty_count,placement_percentage,research_publications,infrastructure_score,accreditation_grade,nirf_rank,data_sources
G.L. Bajaj Institute of Technology and Management,Uttar Pradesh,861,56,81.12,0,0,NA,0,NIRF_2025
ABES Engineering College,Uttar Pradesh,5920,391,82.89,0,0,A+,0,NIRF_2025
Ajay Kumar Garg Engineering College,Uttar Pradesh,5351,299,93.67,0,0,NA,0,NIRF_2025
Noida Institute of Engineering and Technology (Pharmacy Institute),Uttar Pradesh,534,56,90.00,0,0,NA,0,NIRF_2025
IMS Engineering College,Uttar Pradesh,2378,162,76.83,0,0,B+,0,NIRF_2025
